date,home_team,score,away_team
2000-01-04,Bury,2 - 2,Millwall
2000-01-04,Valencia,1 - 1,Celta de Vigo
2000-01-04,CF Extremadura,0 - 0,Mérida UD
2000-01-04,Osasuna,1 - 0,Sporting Gijón
2000-01-04,Córdoba,1 - 1,Levante
2000-01-04,CD Logroñés,2 - 2,Elche
2000-01-04,Lleida,1 - 1,Eibar
2000-01-04,Las Palmas,2 - 1,Villarreal
2000-01-04,Salamanca,1 - 1,Getafe
2000-01-04,Coventry City,2 - 2,Chelsea
2000-01-02,Cork City,2 - 0,Shamrock Rovers
2000-01-02,Bohemians,1 - 0,UCD
2000-01-02,St Patrick's Athl.,3 - 0,Drogheda United
2000-01-02,Athlone Town,2 - 0,Monaghan United
2000-01-03,Sheffield Wednesday,1 - 1,Arsenal
2000-01-03,Livingston,1 - 1,Inverness CT
2000-01-03,St. Mirren,1 - 1,Greenock Morton
2000-01-03,Raith Rovers,3 - 0,Dunfermline Athletic
2000-01-03,Airdrieonians ,0 - 2,Falkirk
2000-01-03,Clydebank,0 - 2,Ayr United
2000-01-03,Walsall,2 - 0,Bolton Wanderers
2000-01-03,Bray Wanderers,1 - 0,Kilkenny City
2000-01-03,Dundalk,4 - 1,Longford Town
2000-01-03,Limerick,0 - 1,St. Francis
2000-01-03,Home Farm,2 - 0,Cobh Ramblers
2000-01-03,Partick Thistle,2 - 2,Hamilton Academical
2000-01-03,Stenhousemuir,3 - 0,Arbroath
2000-01-03,Stranraer,1 - 2,Queen of the South
2000-01-03,Stirling Albion,1 - 1,Alloa Athletic
2000-01-03,Cowdenbeath,1 - 0,East Fife
2000-01-03,Montrose,1 - 0,Brechin City
2000-01-03,Queen's Park,0 - 1,Albion Rovers
2000-01-03,East Stirlingshire,2 - 1,Dumbarton
2000-01-03,Oxford United,1 - 2,Wigan Athletic
2000-01-03,Gillingham,2 - 2,Reading
2000-01-03,Brentford,0 - 1,Stoke City
2000-01-03,Cardiff City,0 - 4,Preston North End
